Journal Name,Journal Absract
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,"The purpose of ACM Transactions on Computer Systems is to present research and development results on the design, specification, realization, behavior, and use of computer systems. The term ""computer systems"" is interpreted broadly and includes systems architectures, operating systems, distributed systems, and computer networks. Articles that appear in TOCS will tend either to present new techniques and concepts or to report on experiences and experiments with actual systems. Insights useful to system designers, builders, and users will be emphasized."
ACM TRANSACTIONS ON GRAPHICS,"The TOG journal has a close synergistic relationship with ACM SIGGRAPH, the premiere conference organization in graphics. Of the five issues published by TOG each year, two are special issues containing the papers presented at the annual SIGGRAPH and SIGGRAPH Asia conferences. Conversely, authors of papers published in other issues of TOG are given the opportunity to present their work at either of these two conferences."
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,"The Association for Computing Machinery""s Transactions on Internet Technology (TOIT) is a scholarly, scientific journal that publishes original research papers in all areas of network and web systems, digital public policy, and other technically oriented issues on the design, use, and services of the Internet. Established in the Summer of 2001, the journal has emerged as one of the premier venues in networking, web, security, and public policy research. TOIT is part of the family of journals produced by the ACM."
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,The ACM Transactions on Knowledge Discovery from Data (TKDD) publishes original archival papers in the area of knowledge discovery from data and closely related disciplines. The majority of the papers that appear in TKDD is expected to address the logical and technical foundation of knowledge discovery and data mining.
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,"The purpose of the ACM Transactions on Mathematical Software (TOMS) is to communicate important research results addressing the development, evaluation and use of mathematical software. In addition, TOMS publishes machine-readable computer software which is incorporated into the Collected Algorithms of the ACM; such software may be written in any programming language that is in widespread use, but the author must be able to make the case as to why the language chosen was the most appropriate given the goals of wide usability and applicability of research published in TOMS. In both research papers and software, TOMS seeks contributions of lasting value in which technical quality, relevance to significant computations, interest, and novelty are all high, and where presentation is effective."
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,"The ACM Transactions on Multimedia Computing, Communications, and Applications is the flagship publication of the ACM Special Interest Group in Multimedia (SIGMM). It focuses on multimedia computing (I/O devices, OS, storage systems, streaming media middleware, continuous media representations, media coding, media processing, etc.), multimedia communications (real-time protocols, end-to-end streaming media, resource allocation, multicast protocols, etc.), and multimedia applications (databases, distributed collaboration, video conferencing, 3D virtual environments, etc.)."
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,"ACM Transactions on Programming Languages and Systems (TOPLAS) is the premier journal for reporting recent research advances in the areas of programming languages, and systems to assist the task of programming. The scope of TOPLAS includes, but is not limited to, the following subjects: - language design for sequential and parallel programming - programming language implementation - programming language semantics - compilers and interpreters - runtime systems for program execution - storage allocation and garbage collection - languages and methods for writing program specifications - languages and methods for secure and reliable programs - testing and verification of programs"
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,"The focus of CSI Transactions on ICT is on the practical implications of advances in information and communication technology and associated management issues. It is intended for all kind of professionals be it researchers, academicians, industry, government and policy makers. The journal will also serve domain experts in education, healthcare, management and agriculture who are making an attempt to utilize the vast potential of ICT in their respective fields and thereby bridge the digital divide. CSI Transactions will initially provide coverage on the following areas:

Systems and Architecture
Software Design and Performance
Cyber and Information Security
Education, Health and Agriculture
Economics, Practice and Management
Computing and Computational Science"
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,"ACM Transactions on Software Engineering and Methodology (ACM TOSEM ) publishes original, significant, reproducible and archival results in all areas of software engineering research. The published articles, in general, provide substantial solutions to problems that make it difficult and costly to engineer complex and long-lived software systems with appropriate characteristics. The articles may also identify significant challenges for software engineering research based on thoughtful insights derived from practical experience."
ACM TRANSACTIONS ON STORAGE,"The ACM Transactions on Storage (TOS) is a new journal with an intent to publish original archival papers in the area of storage and closely related disciplines. Articles that appear in TOS will tend either to present new techniques and concepts or to report novel experiences and experiments with practical systems. Storage is a broad and multidisciplinary area that comprises of network protocols, resource management, data backup, replication, recovery, devices, security, and theory of data coding, densities, and low-power. Potential synergies among these fields are expected to open up new research directions."
ACM TRANSACTIONS ON THE WEB,"Topics in the scope of TWEB include but are not limited to the following: - Browsers and Web Interfaces - Electronic Commerce - Electronic Publishing - Hypertext and Hypermedia - Semantic Web - Web Engineering - Web Services and Service-Oriented Computing - XML In addition, papers addressing the intersection of the following broader technologies with the Web are also in scope: - Accessibility - Business Services - Education - Knowledge Management and Representation - Mobility and pervasive computing - Performance and scalability - Recommender systems - Searching, Indexing, Classification, Retrieval and Querying, Data Mining and Analysis - Security and Privacy - User Interfaces"
ADVANCES IN ENGINEERING SOFTWARE,"The scope of the journal includes: Innovative computational strategies and numerical algorithms for large-scale engineering problems; analysis and simulation techniques and systems; model and mesh generation; control of the accuracy, stability and efficiency of computational process; exploitation of new computing environments; advanced visualization techniques, virtual environments and prototyping; applications of AI, knowledge-based systems, computational intelligence, including fuzzy logic, neural networks and evolutionary computations."
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,"Advances in Mathematics of Communications (AMC) publishes original research papers of the highest quality in all areas of mathematics and computer science which are relevant to applications in communications technology. For this reason, submissions from many areas of mathematics are invited, provided these show a high level of originality, new techniques, an innovative approach, novel methodologies, or otherwise a high level of depth and sophistication. Any work that does not conform to these standards will be rejected.

Areas covered include coding theory, cryptology, combinatorics, finite geometry, algebra and number theory, but are not restricted to these. This journal also aims to cover the algorithmic and computational aspects of these disciplines. Hence, all mathematics and computer science contributions of appropriate depth and relevance to the above mentioned applications in communications technology are welcome.

More detailed indication of the journal's scope is given by the subject interests of the members of the board of editors.

All papers will undergo a thorough peer reviewing process unless the subject matter of the paper does not fit the journal; in this case, the author will be informed promptly. Every effort will be made to secure a decision in three months and to publish accepted papers within six months.

AIMS is a member of COPE. All AIMS journals adhere to the publication ethics and malpractice policies outlined by COPE.
Publishes 4 issues a year in February, May, August and November.
Publishes online only.
Indexed in Science Citation Index E, CompuMath Citation Index, Current Contents/Physics, Chemical, & Earth Sciences, INSPEC, Mathematical Reviews, MathSciNet, PASCAL/CNRS, Scopus, Web of Science, Zentralblatt MATH and dblp: computer science bibliography.
Archived in Portico and CLOCKSS.
Shandong University is a founding institution of AMC.
AMC is a publication of the American Institute of Mathematical Sciences. All rights reserved."
APPLIED ONTOLOGY,"In recent years, the dramatic growth of information and communication technologies has led to an increasingly interdisciplinary approach to research and development activities in these fields. To exploit the immense opportunities of widespread networks effectively, designers of modern information systems need to combine the precision of formal semantics with the needs of cognitive transparency, as they incorporate increasingly sophisticated and heterogeneous information content. The recent explosion of interest on ontologies is an important component of this trend. Researchers in disciplines such as knowledge engineering, information systems modeling, artificial intelligence, formal and computational linguistics, information retrieval, library science, and knowledge management have come to realize that a solid foundation for their research calls for serious work in ontology, understood as a general theory of the types of entities and relations that make up their respective domains of inquiry. In all these areas, attention has started to focus squarely on the content of information, rather than on just the formats and languages used to represent that content. 

Applied Ontology focuses on information content in its broadest sense. As the subtitle makes clear, two broad kinds of content-based research activities are envisioned: ontological analysis and conceptual modeling. The former includes any attempt to investigate the nature and structure of a domain of interest using rigorous philosophical or logical tools; the latter concerns the cognitive and linguistic structures we use to model the world, as well as the various analysis tools and methodologies we adopt for producing useful computational models, such as information systems schemes or knowledge structures. Applied Ontology is the first journal with explicit and exclusive focus on ontological analysis and conceptual modeling under an interdisciplinary view. It aims to establish a unique niche in the realm of scientific journals by carefully avoiding unnecessary duplication with discipline-oriented journals. For this reason, authors will be encouraged to use language that will be intelligible also to those outside their specific sector of expertise, and the review process will be tailored to this end. For example, authors of theoretical contributions will be encouraged to show the relevance of their theory for applications, while authors of more technological papers will be encouraged to show the relevance of a well-founded theoretical perspective. Moreover, the journal will publish papers focusing on representation languages or algorithms only where these address relevant content issues, whether at the level of practical application or of theoretical understanding. Similarly, it will publish descriptions of tools or implemented systems only where a contribution to the practice of ontological analysis and conceptual modeling is clearly established. 

Applied Ontology aims at being a major publication forum for theoretical and applied research in a variety of topics, tentatively grouped together in research areas, examples of which are indicated in the list below.

Foundational issues ? Philosophical foundations of ontology ? Basic ontological categories and relations ? Ontology, epistemology, and semiotics
Specialized ontologies ? Ontology of time, events and processes ? Ontology of space and geography ? Ontology of physics and physical objects ? Ontology of biomedicine ? Ontology of mental entities ? Ontology of agents and actions ? Ontology of organizations and social reality ? Ontology of the information society ? Ontology of business and e-commerce ? Ontology of law ? Ontology of history, culture and evolution
Ontology development and ontology-driven conceptual modeling ? Methodologies for ontology development ? Impact of ontological analysis on current modeling practices ? Best-practice examples and case studies
Ontology management ? Tools for ontology development, analysis and comparison ? Comparison and evaluation of ontologies ? Ontology management, maintenance, versioning ? Methodologies for ontology merging, alignment, and integration ? Semantic Web
Ontology and language ? Ontology and natural-language semantics ? Ontology and lexical resources ? Ontology and terminology ? Ontology learning techniques and their evaluation ? Role of ontology in natural-language systems
Ontology, cognition, perception ? Conceptual schemas, perceptual invariances and ontological categorization ? Psychological experiments evaluating the cognitive adequacy of ontological categories
Ontology and content standards ? Library science ? Knowledge organization ? Museums and cultural repositories ? Multimedia content ? Product descriptions ? Process and service descriptions ? Biomedical and other scientific terminologies
Innovative ontology-based applications"
APPLIED SOFT COMPUTING,"Applied Soft Computing is an international journal promoting an integrated view of soft computing to solve real life problems. Soft computing is a collection of methodologies, which aim to exploit tolerance for imprecision, uncertainty and partial truth to achieve tractability, robustness and low solution cost. The focus is to publish the highest quality research in application and convergence of the areas of Fuzzy Logic, Neural Networks, Evolutionary Computing, Rough Sets and other similar techniques to address real world complexities. Applied Soft Computing is a rolling publication: articles are published as soon as the editor in chief has accepted them. Therefore, the web site will continuously be updated with new articles and the publication time will be short."
AUTOMATED SOFTWARE ENGINEERING,"This journal details research, tutorial papers, survey and accounts of significant industrial experience in the foundations, techniques, tools and applications of automated software engineering technology. This includes the study of techniques for constructing, understanding, adapting, and modeling software artifacts and processes. Coverage in Automated Software Engineering examines both automatic systems and collaborative systems as well as computational models of human software engineering activities. In addition, it presents knowledge representations and artificial intelligence techniques applicable to automated software engineering, and formal techniques that support or provide theoretical foundations. The journal also includes reviews of books, software, conferences and workshops."
BIG DATA RESEARCH,"The journal aims to promote and communicate advances in big data research by providing a fast and high quality forum for researchers, practitioners and policy makers from the very many different communities working on, and with, this topic."
CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,"Cluster Computing: the Journal of Networks, Software Tools and Applications will provide a forum for presenting the latest research and technology that unify the fields of parallel processing, distributed computing systems and high performance computer networks. The current advances in computing, networking technology and software have spurred a lot of research interest in cluster and internet computing, as demonstrated in Cloud and Grid computing, and distributed high performance data centers.

In the last few years, we have seen an increased interest in developing applications, software tools, communications protocols and high performance data centers, Grids and cloud computing sites to capitalize on these advances and initiatives. Publications about these developments currently appear in several journals that either focus on the communications field, or on parallel and distributed computing with a strong emphasis on the parallel algorithms. Cluster Computing Journal will uniquely address the latest results in integrating these three fields to support the development of high performance parallel distributed computing systems and their applications. The journal will be an important source of information for the growing number of researchers, developers and users of High Performance Parallel and Distributed Computing environments. In these environments, parallel and/or distributed computing techniques are applied to the solution of large-scale scientific and engineering applications running on clusters, cloud computing and/or distributed data centers.

Presents the latest research and applications in parallel and distributed algorithms, high performance distributed computing systems that include Clouds, Grids, and Data Centers
Discusses distributed computing techniques as applied to the solution of large-scale scientific and engineering applications running on high performance parallel and distributed computing systems
An important source of information for the growing number of researchers, developers and users of parallel and distributed computing systems"
CM TRANSACTIONS ON COMPUTATIONAL LOGIC,"Logic continues to play an important role in computer science and has permeated several of its areas, including artificial intelligence, computational complexity, database systems, and programming languages. The Editorial Board of this journal seeks and hopes to attract high-quality submissions in all the above-mentioned areas of computational logic so that TOCL becomes the standard reference in the field. Both theoretical and applied papers are sought. Submissions showing novel use of logic in computer science are especially welcome."
COGNITIVE SYSTEMS RESEARCH,"Cognitive Systems Research covers all topics in the study of cognitive processes, in both natural and artificial systems. The journal seeks top-quality contributions and encourages, in particular, articles that transcend traditional disciplinary boundaries (in terms of implications or in terms of approaches). (1) The journal emphasizes the integration/synthesis of ideas, concepts, constructs, theories, and techniques from multiple paradigms, perspectives, and disciplines, in the analysis, understanding, and design of cognitive and intelligent systems. (2) Contributions describing results obtained within the traditional disciplines (e.g., psychology, artificial intelligence) using well-established paradigms are also sought (especially if such work has broader implications and relevance)"
COMBINATORICA,"Combinatorica is an international journal of the J?nos Bolyai Mathematical Society. It publishes research papers on a variety of areas of combinatorics and the theory of computing, with particular emphasis on general techniques and unifying principles. Coverage in Combinatorica includes: - combinatorial structures (graphs, hypergraphs, matroids, designs, permutation groups) - combinatorial optimization - combinatorial aspects of geometry and number theory - algorithms in combinatorics and related fields - computational complexity theory - randomization and explicit construction in combinatorics and algorithms."
COMMUNICATIONS OF THE ACM,"Communications of the ACM is the monthly journal of the Association for Computing Machinery (ACM). It was established in 1958,[1] with Saul Rosen as its first managing editor. It is sent to all ACM members.[2][3] Articles are intended for readers with backgrounds in all areas of computer science and information systems. The focus is on the practical implications of advances in information technology and associated management issues; ACM also publishes a variety of more theoretical journals.

The magazine straddles the boundary of a science magazine, trade magazine, and a scientific journal. While the content is subject to peer review, the articles published are often summaries of research that may also be published elsewhere. Material published must be accessible and relevant to a broad readership.[4]

From 1960 onward, CACM also published algorithms, expressed in ALGOL. The collection of algorithms later became known as the Collected Algorithms of the ACM.[5]"
COMPUTER AIDED GEOMETRIC DESIGN,"The journal Computer Aided Geometric Design is for researchers, scholars, and software developers dealing with mathematical and computational methods for the description of geometric objects as they arise in areas ranging from CAD/CAM to robotics and scientific visualization. The primary objects of interest are curves, surfaces, and volumes such as splines (NURBS), meshes, subdivision surfaces as well as algorithms to generate, analyze, and manipulate them."
COMPUTER ANIMATION AND VIRTUAL WORLDS,"With the advent of very powerful PCs and high-end graphics cards, there has been an incredible development in Virtual Worlds, real-time computer animation and simulation, games. But at the same time, new and cheaper Virtual Reality devices have appeared allowing an interaction with these real-time Virtual Worlds and even with real worlds through Augmented Reality. Three-dimensional characters, especially Virtual Humans are now of an exceptional quality, which allows to use them in the movie industry. But this is only a beginning, as with the development of Artificial Intelligence and Agent technology, these characters will become more and more autonomous and even intelligent. They will inhabit the Virtual Worlds in a Virtual Life together with animals and plants."
COMPUTER GRAPHICS FORUM,
COMPUTER JOURNAL,International Journal of Computer Vision (IJCV) details the science and engineering of this rapidly growing field. Regular articles present major technical advances of broad general interest. Short articles provide a fast publication path for novel research results. Survey articles offer critical reviews of the state of the art and/or tutorial presentations of pertinent topics.
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,"The purpose of the Journal is to publish both articles presenting original work and also review articles, on programming languages, systems, structures, and theories. The objective is to concentrate on advances in programming language theory, as well as infrastructure developments still under investigation, such as those related to the Internet. The topics to be included are syntax, parsing, compilers, complexities, computability, semantics, automatic programming languages, special purpose languages, programming theories, programming documentation, memory management, micro programming, process control programming, real-time programming, and so forth."
COMPUTER STANDARDS & INTERFACES,"COMPUTER STANDARDS & INTERFACES is an international journal dealing specifically with these topics. The journal ? provides information about activities and progress on the definition of computer standards, software quality, interfaces and methods, at national, European and international levels ? publishes critical comments on standards and standards activities ? disseminates users experiences and case studies in the application and exploitation of established or emerging standards, interfaces and methods ? offers a forum for discussion on actual projects, standards, interfaces and methods by recognised experts ? stimulates relevant research by providing a specialised refereed medium."
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,"Whilst considerable progress has been made in the development of computer hardware, the construction of large software or software/hardware systems still remains a 

challenging area. The issues multiply further when there is a need to achieve greater flexibility through the use of distributed systems, much greater computing power through the use of multiple processors and new architectures, greater reliability through the use of fault tolerance and greater capability though the use of intelligent components. 
These areas of research and development activity belong to the developing discipline which known as computer systems. Modern computer systems do not confine themselves to any one of these areas, but draw them together in various combinations. 

CSSE is devoted to theoretical developments in computer systems science and their applications in computer systems engineering. The journal covers the intense research activity that is being carried out in the systems field in both theoretical and practical hardware and software problems, together with the substantial amount of work being carried out within industry on the engineering, implementation and development of such systems. Original research papers, state-of-art reviews and technical notes are published regularly. Research notes, new development experience and application papers are an important part of the journal?s all-round coverage of the subject; industrial developments and new products are also monitored. A conference calendar, reviews of new books and reports of important meetings from around the world keep the reader fully informed."
COMPUTER-AIDED DESIGN,"Contains articles on methods, algorithms, and human-machine interfaces for physical and logical design, including: planning, synthesis, partitioning, modeling, simulation, layout, verification, testing, and documentation of integrated-circuit and systems designs of all complexities. Practical applications of aids resulting in producible analog, digital, optical, or microwave integrated circuits are emphasized."
COMPUTER,"Computer, the flagship publication of the IEEE Computer Society, publishes peer-reviewed articles written for and by computer researchers and practitioners representing the full spectrum of computing and information technology, from hardware to software and from emerging research to new applications. The aim is to provide more technical substance than trade magazines and more practical ideas than research journals. Computer seeks to deliver useful information for all computing professionals and students, including computer scientists, engineers, and practitioners of all levels."
COMPUTERS & ELECTRICAL ENGINEERING,"The impact of computers has nowhere been more revolutionary than in electrical engineering. The design, analysis and operation of electrical and electronic systems has become completely dominated by computers, a transformation that has been motivated by the natural ease of interface between computers and electrical systems, and the promise of spectacular improvements in speed and efficiency. Published since 1973, Computers and Electrical Engineering provides rapid publication of topical research into the integration of computer technology and computational techniques with electrical and electronic systems."
COMPUTERS & GRAPHICS-UK,"Computers & Graphics is dedicated to disseminate information on research and applications of computer graphics (CG) techniques. The journal encourages articles on: 1. Research and applications of interactive computer graphics. We are particularly interested in novel interaction techniques and applications of CG to problem domains. 2. State-of-the-art papers on late-breaking, cutting-edge research on CG. 3. Information on innovative uses of graphics principles and technologies. 4. Tutorial papers on both teaching CG principles and innovative uses of CG in education."
COMPUTERS IN INDUSTRY,"The aim of Computers in Industry is to publish original, high-quality, application-oriented research papers that: ? Show new trends in and options for the use of Information and Communication Technology in industry; ? Link or integrate different technology fields in the broad area of computer-applications for industry; ? Link or integrate different application areas of ICT in industry."
COMPUTING AND INFORMATICS,"COMPUTER ARCHITECTURES AND NETWORKING - PARALLEL AND DISTRIBUTED COMPUTING - THEORETICAL FOUNDATIONS - SOFTWARE ENGINEERING - KNOWLEDGE AND INFORMATION ENGINEERING Apart from the main topics given above, the Editorial Board welcomes papers from other areas of computing and informatics."
COMPUTING IN SCIENCE & ENGINEERING,"Physics, medicine, astronomy -- these and other hard sciences share a common need for efficient algorithms, system software, and computer architecture to address large computational problems. And yet, useful advances in computational techniques that could benefit many researchers are rarely shared. To meet that need, Computing in Science & Engineering presents scientific and computational contributions in a clear and accessible format."
COMPUTING,"The TOG journal has a close synergistic relationship with ACM SIGGRAPH, the premiere conference organization in graphics. Of the five issues published by TOG each year, two are special issues containing the papers presented at the annual SIGGRAPH and SIGGRAPH Asia conferences. Conversely, authors of papers published in other issues of TOG are given the opportunity to present their work at either of these two conferences."
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,"Concurrency is seen in an increasing number of computing and communication systems. We have tens of millions of clients on the World Wide Web and many thousands of powerful nodes in high-end massively parallel machines (MPP). One can project continued rapid progress within ten years, Exaop performance from the Web and Petaflop capabilities in closely coupled parallel machines. This leads to a confusing rich choice of architectures with distributed memory PC clusters or Web-based computers and shared memory MPPs. These are enabled and coupled with corresponding boosts in wide-area network performance and deployment with a blurring and convergence of computing and communication."
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,"Cryptography and Communications: Discrete Structures, Boolean Functions and Sequences publishes scholarly research dedicated to improving the quality of the Discrete Structures, Boolean Functions and Sequences used in communication and cryptographic systems. This research aims to increase the speed and capacity of digital communication and strengthen security by improving the encryption necessary to combat cryptanalytic attacks. With improved encryption, communication will become more secure from the cryptanalytic attacks that threaten the confidentiality and integrity of personal data stored on and transmitted by mobile devices. Increasing the speed, reliability, and capacity of wireless communication is essential for growth, since the radio spectrum is a bounded resource.

While sometimes treated as separate entities with distinct research goals, communication and cryptography often use similar models and techniques and work in tandem in digital networks. As a result, this journal?s distinctive combination encourages researchers to strive for advancements that will improve both areas simultaneously, thus providing a publishing forum for these domains, covering all the fundamental and computational aspects of these research fields.

The journal publishes high-quality papers dealing with cryptography, error-correcting codes, communications and their interactions. Both theoretical and applied papers will be considered, with an emphasis on supporting applications. Applications include channel coding, wireless communications (e.g., mobile phones and satellite communications), security of the Internet, banking transfer security, and embedded security devices.

The scope of the journal focuses on discrete structures used in stream and block ciphers in symmetric cryptography; code division multiple access in communications; and random number generation for statistics, cryptography and numerical methods. In particular, papers covering Boolean functions and sequences, without excluding any other discrete structure used in cryptography and communications, such as finite fields and other algebraic structures, are strongly encouraged. Topics include, but are not limited to:

Boolean functions for pseudo-random generators in stream ciphers and related cryptographic criteria
Weights and nonlinearity of Boolean functions, character sums
Fourier and Walsh transforms and their relation to sequences and Boolean functions
Multi-output (vectorial) Boolean functions for substitution (S-) boxes in block ciphers, differential and nonlinearity characteristics
Designs and (single or multi-output) Boolean functions
Diffusion in block ciphers and Boolean functions
Cryptanalyses of stream and block ciphers and their relation to discrete structures
Combinatorics, coding, cryptography and sequences
Finite fields (or Galois rings), coding, cryptography, and sequences
Connections between sequences and abstract algebra
Permutation and multivariate polynomials over finite fields and their use in cryptography
Linear feedback shift registers, feedback with carry shift registers, and other sequence generators
Correlation of sequences
Complexity measures of sequences and multisequences
Pseudo-randomness of sequences
Shift register synthesis"
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,"The Scientific World Journal is a peer-reviewed, Open Access journal that publishes original research, reviews, and clinical studies covering a wide range of subjects in science, technology, and medicine. The journal is divided into 81 subject areas."
